AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA
2015;10;A CAÑIZA;Galicia;Pontevedra;5,5;23,7;14,142
2015;10;A CORUÑA;Galicia;A Coruña;9,2;24,3;16,411
2015;10;A CORUÑA/ALVEDRO;Galicia;A Coruña;4,5;26,7;16,142
2015;10;A ESTRADA;Galicia;Pontevedra;5,1;25,6;14,622
2015;10;A LAMA;Galicia;Pontevedra;3,8;23,4;14,534
2015;10;ABADIÑO, URKIOLA;País Vasco;Bizkaia;1,3;23,4;12,047
2015;10;ABANILLA;Región de Murcia;Murcia;9,4;31,3;19,984
2015;10;ABENOJAR (AUTOMATICA);Castilla - La Mancha;Ciudad Real;8,7;25,6;16,603
2015;10;ABIA DE OBISPALIA;Castilla - La Mancha;Cuenca;0,9;21,9;12,925
2015;10;ABLA;Andalucía;Almería;9,1;30,5;17,715
2015;10;ADEJE-CALDERA B;Canarias;Santa Cruz de Tenerife;16,9;32,7;23,947
2015;10;ADEMUZ;Comunitat Valenciana;Valencia/València;-1,0;25,6;14,245
2015;10;ADRA,CLUB NAÚTICO;Andalucía;Almería;15,3;28,7;21,455
2015;10;AGAETE-CASCO;Canarias;Las Palmas;17,7;30,0;24,371
2015;10;AGUAS DE CABREIROA;Galicia;Ourense;-0,5;27,6;14,053
2015;10;AGUILAR (LAGUNA ZOÑAR AUTOMATICA);Andalucía;Córdoba;11,3;29,7;19,744
2015;10;AGUILAR DE CAMPOO;Castilla y León;Palencia;-2,5;21,0;10,979
2015;10;AGULO-JUEGO BOLAS;Canarias;Santa Cruz de Tenerife;12,5;32,6;18,865
2015;10;AGURAIN/SALVATIERRA, OPAKUA;País Vasco;Araba/Álava;0,4;24,6;12,666
2015;10;AGÜIMES-EL MILANO;Canarias;Las Palmas;16,3;32,9;22,648
2015;10;ALAJAR, CABEZO MOLINOS;Andalucía;Huelva;9,3;28,6;17,069
2015;10;ALBACETE,OBS.;Castilla - La Mancha;Albacete;4,2;26,8;16,663
2015;10;ALBACETE/LOS LLANOS;Castilla - La Mancha;Albacete;3,0;26,0;15,787
2015;10;ALBARRACÍN;Aragón;Teruel;-2,4;22,0;11,86
2015;10;ALBERCA DE ZANCARA;Castilla - La Mancha;Cuenca;3,7;25,1;14,398
2015;10;ALBORÁN,ISLA;Andalucía;Almería;18,5;20,3;19,475
2015;10;ALBOX;Andalucía;Almería;9,0;34,1;19,54
2015;10;ALBURQUERQUE;Extremadura;Badajoz;8,1;29,4;17,605
2015;10;ALCALA DE HENARES-ENCÍN;Comunidad de Madrid;Madrid;2,4;26,3;15,579
2015;10;ALCAZAR DE SAN JUAN;Castilla - La Mancha;Ciudad Real;5,4;26,5;17,072
2015;10;ALCAÑICES-VIVINERA;Castilla y León;Zamora;0,3;22,7;12,3
2015;10;ALCAÑIZ;Aragón;Teruel;2,4;26,6;15,06
2015;10;ALCONCHEL (AUTOMATICA);Extremadura;Badajoz;9,6;29,4;18,577
2015;10;ALCOY;Comunitat Valenciana;Alicante/Alacant;8,6;30,4;17,685
2015;10;ALCUESCAR;Extremadura;Cáceres;8,5;27,5;17,095
2015;10;ALDEANUEVA DE SERREZUELA-EL CERRO;Castilla y León;Segovia;2,3;21,9;12,405
2015;10;ALFARO, AYUNTAMIENTO;La Rioja;La Rioja;-0,9;27,9;14,344
2015;10;ALFORJA;Cataluña;Tarragona;5,4;27,4;15,519
2015;10;ALGARROBO (LA MAYORA - AUTOMATICA);Andalucía;Málaga;12,8;28,3;20,277
2015;10;ALHAMA (COMARZA - AUT.);Región de Murcia;Murcia;8,9;33,5;19,623
2015;10;ALHAMA DE ARAGÓN, DEPÓSITO;Aragón;Zaragoza;-0,1;25,8;14,602
2015;10;ALICANTE;Comunitat Valenciana;Alicante/Alacant;11,8;33,4;20,258
2015;10;ALICANTE-ELCHE/AEROPUERTO;Comunitat Valenciana;Alicante/Alacant;11,9;34,3;20,566
2015;10;ALISEDA, LA UMBRÍA;Extremadura;Cáceres;8,2;28,9;17,473
2015;10;ALLARIZ-ROIMELO;Galicia;Ourense;2,5;23,7;13,93
2015;10;ALMADEN PLATA (LAS NAVAS AUTOMATICA);Andalucía;Sevilla;10,4;29,6;17,581
2015;10;ALMAGRO / FAMET;Castilla - La Mancha;Ciudad Real;3,7;27,7;16,497
2015;10;ALMANSA;Castilla - La Mancha;Albacete;3,0;24,8;15,046
2015;10;ALMAZUL;Castilla y León;Soria;-1,7;23,8;12,2
2015;10;ALMENDRALEJO;Extremadura;Badajoz;9,0;28,8;17,808
2015;10;ALMERÍA/AEROPUERTO;Andalucía;Almería;14,1;28,3;21,071
2015;10;ALMONTE, DOÑANA;Andalucía;Huelva;9,4;31,9;19,506
2015;10;ALMUDÉVAR;Aragón;Huesca;0,1;25,6;14,784
2015;10;ALOSNO, THARSIS-MINAS;Andalucía;Huelva;9,8;29,1;18,569
2015;10;ALPANDEIRE;Andalucía;Málaga;10,0;29,8;17,489
2015;10;ALPEDRETE;Comunidad de Madrid;Madrid;3,6;23,0;14,452
2015;10;ALTAMIRA;Cantabria;Cantabria;4,3;26,3;15,39
2015;10;ALTO CAMPOO;Cantabria;Cantabria;8,2;13,3;10,4
2015;10;ALTO DE LOS LEONES;Castilla y León;Segovia;0,7;17,5;9,744
2015;10;AMIEVA, PANIZALES;Principado de Asturias;Asturias;4,2;26,4;15,276
2015;10;AMOREBIETA-ETXANO;País Vasco;Bizkaia;2,6;28,7;15,645
2015;10;AMURRIO;País Vasco;Araba/Álava;1,1;26,6;15,048
2015;10;ANAGA-COL. REP. ARGENTINA;Canarias;Santa Cruz de Tenerife;16,8;31,7;23,571
2015;10;ANDORRA, HORCALLANA;Aragón;Teruel;2,7;23,9;14,218
2015;10;ANDÚJAR;Andalucía;Jaén;6,7;31,5;18,835
2015;10;ANGUIANO, VALVANERA;La Rioja;La Rioja;-2,1;21,8;10,879
2015;10;ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES);Andalucía;Málaga;10,2;31,4;19,14
2015;10;ANTEQUERA-BOBADILLA;Andalucía;Málaga;9,4;31,7;19,488
2015;10;ARAGÜÉS DEL PUERTO, DEPÓSITO;Aragón;Huesca;-0,3;23,0;12,317
2015;10;ARAMAIO, ETXAGUEN;País Vasco;Araba/Álava;1,9;23,0;12,743
2015;10;ARANDA DE DUERO;Castilla y León;Burgos;-3,7;23,8;12,34
2015;10;ARANGUREN, ILUNDAIN;Comunidad Foral de Navarra;Navarra;0,0;22,8;13,169
2015;10;ARANJUEZ;Comunidad de Madrid;Madrid;0,5;27,0;16,316
2015;10;ARCHENA;Región de Murcia;Murcia;9,9;31,6;20,516
2015;10;ARCOS DE JALÓN-COEX;Castilla y León;Soria;0,6;22,5;13,162
2015;10;ARENOS-PANTANO;Comunitat Valenciana;Castellón/Castelló;6,2;25,7;15,668
2015;10;ARENYS DE MAR;Cataluña;Barcelona;10,0;29,9;17,94
2015;10;ARESO;Comunidad Foral de Navarra;Navarra;-0,3;24,6;13,485
2015;10;ARETXABALETA;País Vasco;Gipuzkoa;2,2;24,1;14,134
2015;10;AREVALO;Castilla y León;Ávila;-1,7;24,0;13,035
2015;10;ARGANDA DEL REY;Comunidad de Madrid;Madrid;3,0;27,2;16,283
2015;10;ARICO-DEPURADORA LA DEGOLLADA;Canarias;Santa Cruz de Tenerife;14,2;33,6;21,156
2015;10;AROCHE (MASERA - AUTOMATICA);Andalucía;Huelva;6,7;30,1;17,794
2015;10;ARRECIFE (GRANJA CABILDO);Canarias;Las Palmas;13,3;40,0;22,712
2015;10;ARROYO DEL OJANCO;Andalucía;Jaén;6,2;26,9;17,505
2015;10;ARTESA DE SEGRE;Cataluña;Lleida;0,6;26,9;14,685
2015;10;ARTÀ-MOLI DEN LEU;Illes Balears;Illes Balears;9,2;30,5;18,087
2015;10;ARUCAS-BAÑADEROS;Canarias;Las Palmas;16,7;32,5;22,876
2015;10;AS PONTES,A AEROSA;Galicia;A Coruña;2,0;23,9;13,687
2015;10;ASTORGA-DEPÓSITO AGUA;Castilla y León;León;-0,7;23,7;11,498
2015;10;ASTURIAS/AVILÉS;Principado de Asturias;Asturias;4,8;24,4;15,062
2015;10;ATZENETA DEL MAESTRAT;Comunitat Valenciana;Castellón/Castelló;2,7;29,4;15,865
2015;10;AYAMONTE, ISLA CANELA;Andalucía;Huelva;12,6;29,3;20,115
2015;10;AZPEITIA;País Vasco;Gipuzkoa;2,9;27,5;15,553
2015;10;AZUAGA (AUTOMATICA);Extremadura;Badajoz;8,4;28,1;17,147
2015;10;AÍNSA-SOBRARBE, LA SERRETA-DEPÓSITO;Aragón;Huesca;1,6;22,3;13,527
2015;10;BADAJOZ UNIVERSIDAD;Extremadura;Badajoz;8,5;30,3;18,419
2015;10;BADAJOZ/TALAVERA LA REAL;Extremadura;Badajoz;9,2;31,0;19,139
2015;10;BAEZA;Andalucía;Jaén;7,0;28,2;17,545
2015;10;BAILO,PUYALTO;Aragón;Huesca;-1,0;22,8;13,287
2015;10;BAILÉN;Andalucía;Jaén;9,2;29,0;19,052
2015;10;BALLOBAR, DEPÓSITO;Aragón;Huesca;2,1;28,1;15,806
2015;10;BALMASEDA;País Vasco;Bizkaia;1,0;27,2;15,192
2015;10;BALSARENY;Cataluña;Barcelona;0,8;27,1;14,344
2015;10;BANYALBUFAR;Illes Balears;Illes Balears;13,4;31,5;19,873
2015;10;BARBADILLO;Castilla y León;Salamanca;-0,6;23,2;12,897
2015;10;BARBASTRO;Aragón;Huesca;0,9;26,7;14,879
2015;10;BARBATE, DEPURADORA;Andalucía;Cádiz;11,8;29,5;20,298
2015;10;BARCARROTA;Extremadura;Badajoz;8,5;28,1;17,66
2015;10;BARCELONA (FABRA);Cataluña;Barcelona;7,4;27,9;16,727
2015;10;BARCELONA, AEROPUERTO;Cataluña;Barcelona;9,8;29,2;18,081
2015;10;BARCELONA, DRASSANES;Cataluña;Barcelona;12,1;29,7;18,727
2015;10;BARCELONA, PORT OLÍMPIC;Cataluña;Barcelona;11,4;28,8;18,664
2015;10;BARCO DE AVILA;Castilla y León;Ávila;-0,4;22,1;12,147
2015;10;BARDENAS REALES, BASE AÉREA;Comunidad Foral de Navarra;Navarra;1,0;26,6;15,497
2015;10;BARGAÉU PILOÑA;Principado de Asturias;Asturias;2,8;28,0;14,637
2015;10;BARRIOMARTIN-EL ROBLEDO;Castilla y León;Soria;-2,4;19,8;9,961
2015;10;BARRUERA;Cataluña;Lleida;-1,9;23,3;10,534
2015;10;BARX;Comunitat Valenciana;Valencia/València;7,7;29,9;17,442
2015;10;BAZA, CRUZ ROJA;Andalucía;Granada;4,2;29,5;16,36
2015;10;BAZTÁN, IRURITA;Comunidad Foral de Navarra;Navarra;0,4;27,7;13,869
2015;10;BAÑOBAREZ;Castilla y León;Salamanca;2,6;23,5;13,645
2015;10;BEARIZ;Galicia;Ourense;-0,8;23,1;11,987
2015;10;BEASAIN, ARRIARAN;País Vasco;Gipuzkoa;2,0;27,7;14,929
2015;10;BECERREA-PENAMAIOR;Galicia;Lugo;3,9;19,8;10,581
2015;10;BELLO;Aragón;Teruel;-3,5;22,7;11,508
2015;10;BELMONTE;Castilla - La Mancha;Cuenca;4,3;25,9;16,294
2015;10;BELORADO;Castilla y León;Burgos;-0,5;23,3;11,631
2015;10;BENABARRE;Aragón;Huesca;0,5;22,6;13,448
2015;10;BENAHAVIS (LA ZAGALETA - AUTOMATICA);Andalucía;Málaga;11,7;30,1;18,823
2015;10;BENAMEJÍ-ALCACHOFARES ALTOS;Andalucía;Córdoba;9,6;29,5;18,273
2015;10;BENASQUE;Aragón;Huesca;-2,7;22,5;10,281
2015;10;BENAVENTE;Castilla y León;Zamora;2,0;25,4;13,142
2015;10;BENIDORM (PARC LES FOIETES);Comunitat Valenciana;Alicante/Alacant;11,5;30,1;19,865
2015;10;BENIZAR;Región de Murcia;Murcia;8,0;26,6;15,298
2015;10;BENS-A CORUÑA;Galicia;A Coruña;8,4;23,2;15,36
2015;10;BERA;Comunidad Foral de Navarra;Navarra;3,4;28,4;15,513
2015;10;BERGA, INSTITUTO;Cataluña;Barcelona;4,2;24,0;13,668
2015;10;BETETA;Castilla - La Mancha;Cuenca;-2,9;19,9;10,65
2015;10;BICORP;Comunitat Valenciana;Valencia/València;6,2;31,6;18,376
2015;10;BIELSA;Aragón;Huesca;-0,6;23,1;11,903
2015;10;BIESCAS, EMBALSE DE BÚBAL;Aragón;Huesca;-1,7;20,7;10,4
2015;10;BILBAO AEROPUERTO;País Vasco;Bizkaia;3,4;28,2;16,508
2015;10;BINISSALEM-SA VINYOTA;Illes Balears;Illes Balears;7,3;26,7;17,86
2015;10;BLANES, JARDIN BOTANICO;Cataluña;Girona;10,1;29,1;17,926
2015;10;BOADILLA FUENTE SAN ESTEBAN;Castilla y León;Salamanca;2,3;23,1;13,569
2015;10;BOIRO;Galicia;A Coruña;6,9;24,3;15,652
2015;10;BOSSOST-CENTRAL;Cataluña;Lleida;-0,9;24,4;11,976
2015;10;BRIHUEGA;Castilla - La Mancha;Guadalajara;0,2;23,0;12,572
2015;10;BRIVIESCA;Castilla y León;Burgos;-1,5;24,1;12,052
2015;10;BROZAS (AUTOMATICA);Extremadura;Cáceres;8,4;27,7;16,971
2015;10;BUITRAGO;Comunidad de Madrid;Madrid;-3,4;21,1;11,275
2015;10;BUJARALOZ;Aragón;Zaragoza;2,3;27,4;15,403
2015;10;BULLAS;Región de Murcia;Murcia;6,1;29,1;17,016
2015;10;BURELA;Galicia;Lugo;9,1;23,7;15,353
2015;10;BURGO DE OSMA-POZUELOS;Castilla y León;Soria;-3,9;24,2;11,962
2015;10;BURGOS/VILLAFRÍA;Castilla y León;Burgos;-1,8;21,5;11,485
2015;10;BUSTILLO DEL PÁRAMO-LAS MATILLAS;Castilla y León;León;0,3;22,3;11,561
2015;10;BUÑOL-VENTA MINA;Comunitat Valenciana;Valencia/València;5,1;26,7;15,706
2015;10;BÁRCENA MAYOR-TORIZ;Cantabria;Cantabria;-1,1;24,5;12,855
2015;10;CABACÉS;Cataluña;Tarragona;4,5;27,4;16,811
2015;10;CABDELLA-CENTRAL;Cataluña;Lleida;-0,1;22,4;10,574
2015;10;CABO BUSTO;Principado de Asturias;Asturias;8,1;25,4;15,313
2015;10;CABO DE GATA, FARO;Andalucía;Almería;17,2;27,4;21,853
2015;10;CABO VILAN;Galicia;A Coruña;9,0;23,6;15,62
2015;10;CABRERA, PARQUE NACIONAL DE CABRERA;Illes Balears;Illes Balears;14,0;26,0;19,855
2015;10;CADREITA;La Rioja;La Rioja;-0,5;27,3;14,753
2015;10;CALA;Andalucía;Huelva;7,9;27,5;16,127
2015;10;CALAMOCHA;Aragón;Teruel;-2,3;24,5;13,09
2015;10;CALANDA;Aragón;Teruel;3,3;26,7;15,945
2015;10;CALASPARRA;Región de Murcia;Murcia;8,4;29,4;18,287
2015;10;CALATAYUD, DEPÓSITO;Aragón;Zaragoza;0,6;26,1;14,563
2015;10;CALDES DE MONTBUI;Cataluña;Barcelona;6,0;30,7;16,456
2015;10;CAMPDEVANOL;Cataluña;Girona;0,8;24,8;12,453
2015;10;CAMPEZO/KANPEZU;País Vasco;Araba/Álava;-0,5;25,6;12,494
2015;10;CAMPORREDONDO DE ALBA, CUEVA DORADA;Castilla y León;Palencia;-0,5;20,8;9,398
2015;10;CAMPOS-CAN SION;Illes Balears;Illes Balears;7,3;31,5;18,356
2015;10;CAMPOS-SALINES  LEVANT;Illes Balears;Illes Balears;7,6;26,4;18,513
2015;10;CAMUÑO;Principado de Asturias;Asturias;4,5;25,6;14,293
2015;10;CANDELARIA-DEPOSITO CUEVECITAS;Canarias;Santa Cruz de Tenerife;14,6;29,6;20,235
2015;10;CANDELEDA (AUTOMATICA);Castilla y León;Ávila;6,7;28,0;16,56
2015;10;CANFRANC;Aragón;Huesca;-1,8;19,9;9,756
2015;10;CAPDEPERA-FARO;Illes Balears;Illes Balears;13,8;29,3;20,023
2015;10;CAPELLA, LAGUARRES;Aragón;Huesca;0,2;23,3;13,127
2015;10;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;5,2;27,2;14,627
2015;10;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;5,9;28,6;16,569
2015;10;CARBALLO;Galicia;A Coruña;1,3;24,9;14,089
2015;10;CARBONERAS,C.TÉRM.;Andalucía;Almería;14,5;25,3;19,63
2015;10;CARCAIXENT;Comunitat Valenciana;Valencia/València;8,7;30,8;19,102
2015;10;CARDEÑA (SANTA ELENA - AUTOMATICA);Andalucía;Córdoba;8,3;27,0;16,826
2015;10;CARMONA, VILLEGAS;Andalucía;Sevilla;11,0;31,6;19,877
2015;10;CARREÑA DE CABRALES;Principado de Asturias;Asturias;4,3;27,4;14,581
2015;10;CARRION DE LOS CESPEDES;Andalucía;Sevilla;10,1;32,0;19,643
2015;10;CARRIÓN DE LOS CONDES;Castilla y León;Palencia;-0,6;22,8;11,906
2015;10;CARTAGENA;Región de Murcia;Murcia;14,2;27,7;20,832
2015;10;CARTAYA , PEMARES;Andalucía;Huelva;9,9;27,6;18,779
2015;10;CASAS DO PORTO;Galicia;A Coruña;6,6;22,7;14,908
2015;10;CASPE, COMARCAL;Aragón;Zaragoza;5,4;28,9;17,478
2015;10;CASTEJÓN DE VALDEJASA, DEPÓSITO;Aragón;Zaragoza;2,6;24,3;14,691
2015;10;CASTELL DARO;Cataluña;Girona;7,0;28,4;16,356
2015;10;CASTELL DEL FERRO;Andalucía;Granada;12,4;29,4;20,055
2015;10;CASTELLFORT;Comunitat Valenciana;Castellón/Castelló;1,3;20,3;11,76
2015;10;CASTELLO DEMPURIES;Cataluña;Girona;6,5;30,3;16,184
2015;10;CASTELLOTE, DEPÓSITO;Aragón;Teruel;2,7;24,8;15,25
2015;10;CASTELLÓN-ALMASSORA;Comunitat Valenciana;Castellón/Castelló;10,2;31,5;18,953
2015;10;CASTILLO BAYUELA;Castilla - La Mancha;Toledo;6,8;26,9;16,09
2015;10;CASTRO URDIALES-EDAR;Cantabria;Cantabria;7,9;28,3;17,008
2015;10;CASTROPOL;Principado de Asturias;Asturias;6,4;25,6;16,535
2015;10;CASTUERA-COOPERATIVA;Extremadura;Badajoz;10,8;28,0;18,49
2015;10;CAZALLA DE LA SIERRA;Andalucía;Sevilla;7,8;28,1;16,489
2015;10;CAZORLA (AUTOMATICA);Andalucía;Jaén;9,5;26,4;17,489
2015;10;CAZORLA I;Andalucía;Jaén;9,9;27,2;18,424
2015;10;CAÑADAS PARADOR;Canarias;Santa Cruz de Tenerife;0,7;23,5;11,595
2015;10;CAÑAMERO, EL PINAR;Extremadura;Cáceres;9,3;26,6;16,908
2015;10;CAÑAVERAL;Extremadura;Cáceres;9,6;23,2;16,007
2015;10;CAÑIZARES;Castilla - La Mancha;Cuenca;-0,5;24,5;13,236
2015;10;CEBREROS;Castilla y León;Ávila;4,2;24,4;14,313
2015;10;CEDRILLAS, ANTENAS;Aragón;Teruel;-1,7;18,9;10,085
2015;10;CENICERO;La Rioja;La Rioja;1,4;27,1;13,907
2015;10;CERVANTES-BAZAL;Galicia;Lugo;3,7;21,2;11,518
2015;10;CERVERA DE PISUERGA;Castilla y León;Palencia;-2,6;21,2;10,795
2015;10;CEUTA;Ceuta;Ceuta;15,3;28,0;20,671
2015;10;CHANDREXA DE QUEIXA;Galicia;Ourense;-0,1;22,0;11,577
2015;10;CHARILLA;Andalucía;Jaén;6,2;26,7;15,777
2015;10;CHELVA;Comunitat Valenciana;Valencia/València;4,4;27,3;16,798
2015;10;CHIPIONA, ECA;Andalucía;Cádiz;12,2;28,5;20,076
2015;10;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;8,1;29,3;19,148
2015;10;CITFAGRO_01_ARICO;Canarias;Santa Cruz de Tenerife;17,5;34,6;23,36
2015;10;CITFAGRO_05_GUIAISO1;Canarias;Santa Cruz de Tenerife;17,3;33,2;22,06
2015;10;CITFAGRO_09_HELECHO;Canarias;Santa Cruz de Tenerife;11,9;30,5;18,312
2015;10;CITFAGRO_10_RAVELO;Canarias;Santa Cruz de Tenerife;7,8;25,2;16,093
2015;10;CITFAGRO_13_VILAFLOR;Canarias;Santa Cruz de Tenerife;8,0;29,7;15,692
2015;10;CITFAGRO_54_TOPONEGRO;Canarias;Santa Cruz de Tenerife;15,9;33,6;22,171
2015;10;CITFAGRO_62_TRIGO;Canarias;Santa Cruz de Tenerife;14,4;32,7;21,303
2015;10;CITFAGRO_64_HOYOS;Canarias;Santa Cruz de Tenerife;9,1;29,8;17,408
2015;10;CITFAGRO_67_MATANZA;Canarias;Santa Cruz de Tenerife;9,3;30,5;17,4
2015;10;CITFAGRO_69_SUERTE;Canarias;Santa Cruz de Tenerife;12,8;30,6;19,782
2015;10;CITFAGRO_70_BENIJO;Canarias;Santa Cruz de Tenerife;8,9;29,0;16,584
2015;10;CITFAGRO_71_PALOB;Canarias;Santa Cruz de Tenerife;11,9;31,4;19,073
2015;10;CITFAGRO_73_REDON;Canarias;Santa Cruz de Tenerife;10,1;31,8;18,713
2015;10;CITFAGRO_74_CHIO;Canarias;Santa Cruz de Tenerife;12,3;31,4;19,295
2015;10;CITFAGRO_76_POZO;Canarias;Santa Cruz de Tenerife;15,1;31,8;20,59
2015;10;CITFAGRO_77_PINAL;Canarias;Santa Cruz de Tenerife;11,4;31,8;18,108
2015;10;CITFAGRO_81_MENA;Canarias;Santa Cruz de Tenerife;14,6;32,6;20,961
2015;10;CITFAGRO_87_AGUAMANSA;Canarias;Santa Cruz de Tenerife;5,4;30,0;15,289
2015;10;CITFAGRO_88_GAITERO;Canarias;Santa Cruz de Tenerife;4,9;26,8;12,421
2015;10;CITFAGRO_89_CHAVAO;Canarias;Santa Cruz de Tenerife;5,0;25,5;12,602
2015;10;CITFAGRO_90_PICACHO;Canarias;Santa Cruz de Tenerife;7,6;24,4;14,095
2015;10;CITFAGRO_91_CUBO;Canarias;Santa Cruz de Tenerife;9,2;30,9;17,235
2015;10;CITFAGRO_92_SANTACRUZ;Canarias;Santa Cruz de Tenerife;17,5;31,3;23,453
2015;10;CITFAGRO_94_LOSTOPOS;Canarias;Santa Cruz de Tenerife;7,1;23,9;13,031
2015;10;CITFAGRO_96_ARAYA;Canarias;Santa Cruz de Tenerife;14,1;30,3;20,642
2015;10;CITFAGRO_97_TAGANANA;Canarias;Santa Cruz de Tenerife;14,8;31,0;21,248
2015;10;CITFAGRO_98_ELDRAGO;Canarias;Santa Cruz de Tenerife;15,0;29,5;21,455
2015;10;CIUDAD REAL;Castilla - La Mancha;Ciudad Real;5,4;26,9;16,684
2015;10;CIUTADELLA-CALA GALDANA;Illes Balears;Illes Balears;8,6;26,9;17,332
2015;10;CIUTADELLA-SON QUIM;Illes Balears;Illes Balears;10,9;29,3;18,969
2015;10;COIN (AUTOMATICA);Andalucía;Málaga;11,2;32,1;20,452
2015;10;COLL DE NARGÓ;Cataluña;Lleida;0,7;25,0;13,616
2015;10;COLMENAR VIEJO/FAMET;Comunidad de Madrid;Madrid;4,9;22,0;13,44
2015;10;COLUNGA;Principado de Asturias;Asturias;4,2;29,4;15,377
2015;10;COLÒNIA SANT PERE-CAN MENGOL;Illes Balears;Illes Balears;12,0;30,7;19,277
2015;10;CORBERA, PUIG DAGULLES;Cataluña;Barcelona;4,7;25,6;15,184
2015;10;CORDOBA, EMBALSE DE GUADANUÑO;Andalucía;Córdoba;7,6;29,0;17,365
2015;10;CORIA;Extremadura;Cáceres;7,6;29,4;17,403
2015;10;CORTES DE LA FRONTERA;Andalucía;Málaga;10,4;31,5;18,26
2015;10;CORUÑA DEL CONDE;Castilla y León;Burgos;-1,1;22,8;12,403
2015;10;CUBILLO DE EBRO;Cantabria;Cantabria;-2,2;22,8;11,582
2015;10;CUELLAR;Castilla y León;Segovia;-5,0;24,1;11,902
2015;10;CUENCA;Castilla - La Mancha;Cuenca;0,7;24,4;14,095
2015;10;CUEVAS DE FELECHOSA;Principado de Asturias;Asturias;1,1;22,6;12,334
2015;10;CÁCERES;Extremadura;Cáceres;8,8;28,0;17,321
2015;10;CÁDIZ, OBSERVATORIO;Andalucía;Cádiz;15,1;26,7;20,485
2015;10;CÁSEDA, DEPÓSITO;Comunidad Foral de Navarra;Navarra;1,5;25,0;14,231
2015;10;CÓRDOBA, PRAGDENA;Andalucía;Córdoba;9,0;30,1;18,891
2015;10;CÓRDOBA/AEROPUERTO;Andalucía;Córdoba;10,2;32,8;20,142
2015;10;DAROCA;Aragón;Zaragoza;-1,9;25,1;13,735
2015;10;DEGAÑA, COTO CORTÉS;Principado de Asturias;Asturias;-0,9;19,5;9,584
2015;10;DEHESA-REFUGIO;Canarias;Santa Cruz de Tenerife;13,3;31,7;19,545
2015;10;DON BENITO;Extremadura;Badajoz;9,7;30,3;18,915
2015;10;DONOSTIA / SAN SEBASTIÁN, IGELDO;País Vasco;Gipuzkoa;5,1;26,7;15,281
2015;10;DONOSTIA/SAN SEBASTIÁN AEROPUERTO;País Vasco;Gipuzkoa;5,2;28,5;16,579
2015;10;DOÑA MENCIA;Andalucía;Córdoba;9,8;26,9;17,668
2015;10;ECIJA;Andalucía;Sevilla;9,7;31,6;19,298
2015;10;EIVISSA;Illes Balears;Illes Balears;10,0;28,4;19,152
2015;10;EJEA DE LOS CABALLEROS;Aragón;Zaragoza;0,5;26,6;15,495
2015;10;EL ARENOSILLO;Andalucía;Huelva;11,8;26,8;20,235
2015;10;EL BODÓN-BASE AEREA;Castilla y León;Salamanca;0,1;24,0;13,202
2015;10;EL BOSQUE, SAN JOSÉ;Andalucía;Cádiz;9,8;30,5;19,006
2015;10;EL CAMPILLO, EL ZUMAJO;Andalucía;Huelva;10,2;28,5;17,898
2015;10;EL CERRO DE ANDEVALO;Andalucía;Huelva;11,5;30,1;18,831
2015;10;EL EJIDO (AYUNTAMIENTO - AUTOMATICA);Andalucía;Almería;14,8;29,5;21,655
2015;10;EL GOLOSO (AUTOMÁTICA);Comunidad de Madrid;Madrid;4,3;23,4;14,155
2015;10;EL GRANADO (BOCACHANZA - AUTOMÁTICA);Andalucía;Huelva;10,8;33,6;20,315
2015;10;EL HIERRO/AEROPUERTO;Canarias;Santa Cruz de Tenerife;19,7;31,1;24,371
2015;10;EL MAILLO (BASE AVIONES - AUTOMATICA);Castilla y León;Salamanca;2,0;21,7;12,519
2015;10;EL PASO-C.F.;Canarias;Santa Cruz de Tenerife;9,8;30,4;17,253
2015;10;EL PAULAR- RASCAFRÍA (AUTOMÁTICA);Comunidad de Madrid;Madrid;-4,1;20,0;11,56
2015;10;EL PEDREGAL;Castilla - La Mancha;Guadalajara;0,3;23,5;11,821
2015;10;EL PUENTE (CASA FORESTAL);Castilla y León;Zamora;-3,8;21,1;9,705
2015;10;EL ROBLEDO;Castilla - La Mancha;Ciudad Real;5,6;27,2;16,657
2015;10;EL SOLERÀS;Cataluña;Lleida;3,8;25,9;15,529
2015;10;ELCHE/ALTABIX;Comunitat Valenciana;Alicante/Alacant;10,0;33,8;20,303
2015;10;ELGETA;País Vasco;Gipuzkoa;2,0;24,5;13,815
2015;10;ELGOIBAR;País Vasco;Gipuzkoa;2,8;26,8;15,003
2015;10;EMBALSE DE LA FUENSANTA (AUTOMÁTICA);Castilla - La Mancha;Albacete;6,6;28,8;17,761
2015;10;ENGUERA NAVALON;Comunitat Valenciana;Valencia/València;2,5;28,1;15,48
2015;10;ERRENTERIA, AÑARBE;País Vasco;Gipuzkoa;1,5;27,8;15,305
2015;10;ES CAPDELLÀ- SON VIC NOU;Illes Balears;Illes Balears;9,0;30,3;18,848
