AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA
2021;9;SIGÜENZA;Castilla - La Mancha;Guadalajara;5,0;29,5;16,233
2021;9;SILLEDA;Galicia;Pontevedra;8,0;33,4;18,48
2021;9;SINEU-POLIESPORTIU;Illes Balears;Illes Balears;15,5;31,4;24,122
2021;9;SITGES, VALLCARCA;Cataluña;Barcelona;16,8;28,7;23,7
2021;9;SOBA-ALTO MIERA;Cantabria;Cantabria;9,3;31,7;17,974
2021;9;SOBRADO DOS MONXES;Galicia;A Coruña;4,4;34,3;16,997
2021;9;SON BONET, AEROPUERTO;Illes Balears;Illes Balears;17,7;34,3;25,192
2021;9;SON SERVERA-CAN PEP MONJO;Illes Balears;Illes Balears;16,8;33,4;24,387
2021;9;SOPEIRA;Aragón;Huesca;7,5;32,3;19,242
2021;9;SOPUERTA;País Vasco;Bizkaia;10,1;37,1;20,01
2021;9;SORIA;Castilla y León;Soria;6,2;30,4;17,262
2021;9;SOS DEL REY CATÓLICO;Aragón;Zaragoza;8,0;34,1;18,802
2021;9;SOTILLO DE LA ADRADA;Castilla y León;Ávila;11,0;34,6;21,932
2021;9;SOTO DE VALDEÓN (AUTOMATICA);Castilla y León;León;4,5;30,0;14,683
2021;9;SOUTU, LA BARCA;Principado de Asturias;Asturias;8,3;34,3;18,432
2021;9;SÓLLER;Illes Balears;Illes Balears;17,1;33,3;24,977
2021;9;TABLADA;Andalucía;Sevilla;15,8;38,3;25,373
2021;9;TACORON-LAPILLAS-TORTUGA;Canarias;Santa Cruz de Tenerife;20,0;32,5;24,875
2021;9;TACORONTE-A S.E.A.;Canarias;Santa Cruz de Tenerife;16,5;30,1;22,648
2021;9;TALARN;Cataluña;Lleida;8,1;32,8;19,307
2021;9;TALAVERA DE LA REINA;Castilla - La Mancha;Toledo;10,9;35,4;22,024
2021;9;TAMA;Cantabria;Cantabria;6,8;35,6;18,938
2021;9;TAMARITE DE LITERA, LA MELUSA;Aragón;Huesca;9,1;33,8;21,737
2021;9;TARANCON;Castilla - La Mancha;Cuenca;9,7;33,9;21,62
2021;9;TARAZONA;Aragón;Zaragoza;9,9;31,5;19,608
2021;9;TARIFA;Andalucía;Cádiz;14,3;28,2;21,81
2021;9;TARRAGONA, FAC. GEOGRAFIA;Cataluña;Tarragona;14,8;31,3;23,752
2021;9;TAZACORTE;Canarias;Santa Cruz de Tenerife;20,4;30,8;25,462
2021;9;TEGUISE LA GRACIOSA-HELIPUERTO;Canarias;Las Palmas;19,2;28,9;24,21
2021;9;TEJEDA CASCO;Canarias;Las Palmas;13,5;36,6;23,278
2021;9;TEJEDA-CRUZ DE TEJEDA;Canarias;Las Palmas;8,6;31,2;18,714
2021;9;TELDE-CENTRO FORESTAL DORAMAS;Canarias;Las Palmas;15,7;30,1;22,802
2021;9;TELDE-MELENARA;Canarias;Las Palmas;19,3;28,1;24,297
2021;9;TEMBLEQUE;Castilla - La Mancha;Toledo;7,8;33,7;20,332
2021;9;TENERIFE-GÜIMAR;Canarias;Santa Cruz de Tenerife;16,3;29,2;23,518
2021;9;TENERIFE/LOS RODEOS;Canarias;Santa Cruz de Tenerife;13,7;34,9;21,4
2021;9;TENERIFE/SUR;Canarias;Santa Cruz de Tenerife;19,4;33,3;25,257
2021;9;TEROR-OSORIO;Canarias;Las Palmas;11,3;36,0;20,1
2021;9;TERUEL;Aragón;Teruel;6,2;31,2;18,868
2021;9;TIAS-LAS VEGAS;Canarias;Las Palmas;16,2;32,5;22,675
2021;9;TIELMES;Comunidad de Madrid;Madrid;9,4;32,7;20,163
2021;9;TIJARAFE-MIRADOR TIME;Canarias;Santa Cruz de Tenerife;15,3;32,3;21,32
2021;9;TINAJO-LOS DOLORES;Canarias;Las Palmas;16,8;28,9;22,23
