AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;ARTESA DE SEGRE;Cataluña;Lleida;11,2;168
2015;10;ARTÀ-MOLI DEN LEU;Illes Balears;Illes Balears;46,8;348
2015;10;ARUCAS-BAÑADEROS;Canarias;Las Palmas;84,0;408
2015;10;AS PONTES,A AEROSA;Galicia;A Coruña;52,6;60
2015;10;ASTORGA-DEPÓSITO AGUA;Castilla y León;León;74,8;84
2015;10;ASTURIAS/AVILÉS;Principado de Asturias;Asturias;102,8;162
2015;10;ATZENETA DEL MAESTRAT;Comunitat Valenciana;Castellón/Castelló;28,4;204
2015;10;AYAMONTE, ISLA CANELA;Andalucía;Huelva;97,1;324
2015;10;AZPEITIA;País Vasco;Gipuzkoa;86,4;360
2015;10;AZUAGA (AUTOMATICA);Extremadura;Badajoz;69,9;264
2015;10;AÍNSA-SOBRARBE, LA SERRETA-DEPÓSITO;Aragón;Huesca;39,0;216
2015;10;BADAJOZ UNIVERSIDAD;Extremadura;Badajoz;113,4;360
2015;10;BADAJOZ/TALAVERA LA REAL;Extremadura;Badajoz;119,4;270
2015;10;BAEZA;Andalucía;Jaén;59,2;204
2015;10;BAILO,PUYALTO;Aragón;Huesca;19,8;48
2015;10;BAILÉN;Andalucía;Jaén;69,4;264
2015;10;BALLOBAR, DEPÓSITO;Aragón;Huesca;6,6;156
2015;10;BALMASEDA;País Vasco;Bizkaia;79,8;300
2015;10;BALSARENY;Cataluña;Barcelona;17,8;120
2015;10;BANYALBUFAR;Illes Balears;Illes Balears;16,6;72
2015;10;BARBADILLO;Castilla y León;Salamanca;49,4;120
2015;10;BARBASTRO;Aragón;Huesca;45,2;492
2015;10;BARBATE, DEPURADORA;Andalucía;Cádiz;47,2;288
2015;10;BARCARROTA;Extremadura;Badajoz;171,6;408
2015;10;BARCELONA (FABRA);Cataluña;Barcelona;29,3;354
2015;10;BARCELONA, AEROPUERTO;Cataluña;Barcelona;74,8;936
2015;10;BARCELONA, DRASSANES;Cataluña;Barcelona;31,1;480
2015;10;BARCELONA, PORT OLÍMPIC;Cataluña;Barcelona;72,2;630
2015;10;BARCO DE AVILA;Castilla y León;Ávila;110,6;144
2015;10;BARDENAS REALES, BASE AÉREA;Comunidad Foral de Navarra;Navarra;9,0;48
2015;10;BARGAÉU PILOÑA;Principado de Asturias;Asturias;113,0;264
2015;10;BARRIOMARTIN-EL ROBLEDO;Castilla y León;Soria;58,2;84
2015;10;BARRUERA;Cataluña;Lleida;47,6;240
2015;10;BARX;Comunitat Valenciana;Valencia/València;63,6;300
2015;10;BAZA, CRUZ ROJA;Andalucía;Granada;0,0;0
2015;10;BAZTÁN, IRURITA;Comunidad Foral de Navarra;Navarra;95,7;252
2015;10;BAÑOBAREZ;Castilla y León;Salamanca;68,2;144
2015;10;BEARIZ;Galicia;Ourense;175,9;300
2015;10;BEASAIN, ARRIARAN;País Vasco;Gipuzkoa;51,2;276
2015;10;BECERREA-PENAMAIOR;Galicia;Lugo;162,2;324
2015;10;BELLO;Aragón;Teruel;8,8;36
2015;10;BELMONTE;Castilla - La Mancha;Cuenca;14,0;72
2015;10;BELORADO;Castilla y León;Burgos;36,1;96
2015;10;BENABARRE;Aragón;Huesca;52,4;912
2015;10;BENAHAVIS (LA ZAGALETA - AUTOMATICA);Andalucía;Málaga;127,6;936
2015;10;BENAMEJÍ-ALCACHOFARES ALTOS;Andalucía;Córdoba;64,2;348
2015;10;BENASQUE;Aragón;Huesca;55,6;144
2015;10;BENAVENTE;Castilla y León;Zamora;103,6;240
2015;10;BENIDORM (PARC LES FOIETES);Comunitat Valenciana;Alicante/Alacant;59,6;432
2015;10;BENIZAR;Región de Murcia;Murcia;53,6;204
2015;10;BENS-A CORUÑA;Galicia;A Coruña;103,6;144
