province,year_month,passengers,operations,cargo_kg,airport_count
Melilla,2016-10,29137,722,12029,1
Melilla,2016-11,25618,695,12689,1
Melilla,2016-12,27217,673,12648,1
Melilla,2017-01,23251,623,14578,1
Melilla,2017-02,22674,583,11522,1
Melilla,2017-03,25942,659,11922,1
Melilla,2017-04,26763,659,9014,1
Melilla,2017-05,27346,706,11409,1
Melilla,2017-06,25545,673,11644,1
Melilla,2017-07,30040,705,10704,1
Melilla,2017-08,30779,721,9814,1
Melilla,2017-09,29714,704,8985,1
Melilla,2017-10,28689,683,10879,1
Melilla,2017-11,26824,625,13188,1
Melilla,2017-12,26799,616,11307,1
Melilla,2018-01,24513,653,9793,1
Melilla,2018-02,23939,598,10513,1
Melilla,2018-03,26498,605,9844,1
Melilla,2018-04,26864,604,10921,1
Melilla,2018-05,27630,687,11598,1
Melilla,2018-06,29229,688,10759,1
Melilla,2018-07,33442,750,11622,1
Melilla,2018-08,33814,752,9362,1
Melilla,2018-09,32848,761,11297,1
Melilla,2018-10,32668,767,11598,1
Melilla,2018-11,28338,602,10476,1
Melilla,2018-12,28340,618,10029,1
Melilla,2019-01,27538,655,12635,1
Melilla,2019-02,27137,588,11150,1
Melilla,2019-03,30542,658,10035,1
Melilla,2019-04,36423,798,10504,1
Melilla,2019-05,36235,968,11869,1
Melilla,2019-06,39886,931,10096,1
Melilla,2019-07,43375,946,16960,1
Melilla,2019-08,45448,977,8103,1
Melilla,2019-09,39364,907,8724,1
Melilla,2019-10,38468,886,12629,1
Melilla,2019-11,34249,708,11336,1
Melilla,2019-12,35991,746,10527,1
Melilla,2020-01,33033,730,12345,1
Melilla,2020-02,32500,698,10249,1
Melilla,2020-03,15630,457,4213,1
Melilla,2020-04,252,110,0,1
Melilla,2020-05,253,112,0,1
Melilla,2020-06,2787,166,117,1
Melilla,2020-07,19309,510,899,1
Melilla,2020-08,20722,517,822,1
Melilla,2020-09,19103,475,986,1
Melilla,2020-10,18798,487,958,1
Melilla,2020-11,12926,417,1007,1
Melilla,2020-12,20323,479,554,1
Melilla,2021-01,16811,452,213,1
Melilla,2021-02,17438,472,257,1
Melilla,2021-03,23867,526,138,1
Melilla,2021-04,20236,599,137,1
Melilla,2021-05,25069,689,573,1
Melilla,2021-06,30297,718,352,1
Melilla,2021-07,33411,706,1601,1
Melilla,2021-08,31657,696,1638,1
Melilla,2021-09,32280,763,1423,1
Melilla,2021-10,35715,828,1305,1
Melilla,2021-11,31787,664,1197,1
Melilla,2021-12,33878,716,1090,1
Melilla,2022-01,27858,667,1087,1
Melilla,2022-02,28673,636,978,1
Melilla,2022-03,31659,698,1384,1
Melilla,2022-04,35407,759,1076,1
Melilla,2022-05,34595,829,1050,1
Melilla,2022-06,39990,872,2743,1
Melilla,2022-07,42368,864,2011,1
Melilla,2022-08,43202,824,1988,1
Melilla,2022-09,42056,908,2690,1
Melilla,2022-10,40285,920,2391,1
Melilla,2022-11,38124,892,3036,1
Melilla,2022-12,43233,903,1669,1
Melilla,2023-01,36299,813,1859,1
Melilla,2023-02,35126,779,2073,1
Melilla,2023-03,41078,838,2429,1
Melilla,2023-04,40520,870,1476,1
Melilla,2023-05,42041,972,2487,1
Melilla,2023-06,43370,930,2348,1
Melilla,2023-07,48393,981,2751,1
Melilla,2023-08,46515,977,1528,1
Melilla,2023-09,42788,927,1847,1
Melilla,2023-10,42530,933,2101,1
Melilla,2023-11,38009,869,2079,1
Melilla,2023-12,44400,867,1696,1
Melilla,2024-01,37142,832,2182,1
Melilla,2024-02,35962,804,2251,1
Melilla,2024-03,39277,839,2052,1
Melilla,2024-04,41728,919,2641,1
Melilla,2024-05,43450,956,5057,1
Melilla,2024-06,45483,942,4477,1
Melilla,2024-07,47475,979,3046,1
Melilla,2024-08,48275,995,1753,1
Melilla,2024-09,43295,978,1966,1
Melilla,2024-10,42635,968,2936,1
Melilla,2024-11,37754,861,1900,1
Melilla,2024-12,45511,904,1673,1
Murcia,2015-01,19154,254,11,1
Murcia,2015-02,28563,314,18,1
Murcia,2015-03,28563,314,18,1
Murcia,2015-04,113588,869,141,1
Murcia,2015-05,130036,992,206,1
Murcia,2015-06,144619,1218,44,1
Murcia,2015-07,159598,1173,80,1
Murcia,2015-08,155806,1158,0,1
Murcia,2015-09,138693,1011,0,1
Murcia,2015-10,115981,846,0,1
Murcia,2015-11,25034,265,50,1
Murcia,2015-12,18207,217,0,1
Murcia,2016-01,19573,228,0,1
Murcia,2016-02,19483,223,0,1
Murcia,2016-03,51029,445,0,1
Murcia,2016-04,118058,894,0,1
Murcia,2016-05,129382,977,0,1
Murcia,2016-06,132507,993,0,1
Murcia,2016-07,150031,1051,0,1
Murcia,2016-08,144800,1000,0,1
Murcia,2016-09,134149,929,0,1
Murcia,2016-10,116520,825,40,1
Murcia,2016-11,44142,374,0,1
Murcia,2016-12,37374,334,0,1
Murcia,2017-01,39019,334,0,1
Murcia,2017-02,37265,295,0,1
Murcia,2017-03,53020,438,0,1
Murcia,2017-04,119805,837,0,1
Murcia,2017-05,133451,994,0,1
Murcia,2017-06,144521,1048,0,1
Murcia,2017-07,158773,1076,84,1
Murcia,2017-08,155361,1041,0,1
Murcia,2017-09,141442,976,0,1
Murcia,2017-10,123572,862,86,1
Murcia,2017-11,47065,390,0,1
Murcia,2017-12,43293,325,0,1
Murcia,2018-01,45200,374,0,1
Murcia,2018-02,44044,332,0,1
Murcia,2018-03,62179,520,0,1
Murcia,2018-04,131336,961,0,1
Murcia,2018-05,139775,980,0,1
Murcia,2018-06,154234,1078,0,1
Murcia,2018-07,163576,1118,0,1
Murcia,2018-08,157262,1046,0,1
Murcia,2018-09,148959,989,85,1
Murcia,2018-10,131896,966,0,1
Murcia,2018-11,48603,403,0,1
Murcia,2018-12,46710,412,0,1
Murcia,2019-01,41806,428,0,2
Murcia,2019-02,45149,362,0,2
Murcia,2019-03,56260,418,0,2
Murcia,2019-04,110822,791,0,2
Murcia,2019-05,121073,877,0,2
Murcia,2019-06,133920,971,0,2
Murcia,2019-07,145286,989,0,2
Murcia,2019-08,141399,932,0,2
Murcia,2019-09,130535,898,0,2
Murcia,2019-10,108502,804,0,2
Murcia,2019-11,40627,375,0,2
Murcia,2019-12,36896,353,0,2
Murcia,2020-01,67570,585,0,1
Murcia,2020-02,40508,346,0,1
Murcia,2020-03,19150,191,0,1
Murcia,2020-04,22,18,0,1
Murcia,2020-05,101,64,0,1
Murcia,2020-06,59,44,0,1
Murcia,2020-07,28623,355,0,1
Murcia,2020-08,29470,515,0,1
Murcia,2020-09,17164,346,0,1
Murcia,2020-10,10966,192,0,1
Murcia,2020-11,1966,76,0,1
Murcia,2020-12,2313,80,0,1
Murcia,2021-01,1658,76,0,1
Murcia,2021-02,802,69,0,1
Murcia,2021-03,1438,57,0,1
Murcia,2021-04,2153,79,0,1
Murcia,2021-05,5104,132,0,1
Murcia,2021-06,15348,309,0,1
Murcia,2021-07,42383,493,0,1
Murcia,2021-08,66369,611,0,1
Murcia,2021-09,58634,554,0,1
Murcia,2021-10,48681,448,0,1
Murcia,2021-11,21592,255,0,1
Murcia,2021-12,19326,282,0,1
Murcia,2022-01,13600,176,0,2
Murcia,2022-02,20377,214,0,1
Murcia,2022-03,32417,307,0,1
Murcia,2022-04,83241,666,0,1
Murcia,2022-05,92748,772,0,1
Murcia,2022-06,107220,815,0,1
Murcia,2022-07,120081,875,0,1
Murcia,2022-08,121307,819,0,1
Murcia,2022-09,105737,761,0,1
Murcia,2022-10,90608,699,0,1
Murcia,2022-11,27120,281,0,1
Murcia,2022-12,24710,278,0,1
Murcia,2023-01,22171,240,0,1
Murcia,2023-02,20910,180,0,1
Murcia,2023-03,33811,318,0,1
Murcia,2023-04,91557,688,0,1
Murcia,2023-05,102853,806,0,1
Murcia,2023-06,109450,788,0,1
Murcia,2023-07,117459,819,0,1
Murcia,2023-08,120958,793,0,1
Murcia,2023-09,111457,799,0,1
Murcia,2023-10,94914,701,0,1
Murcia,2023-11,23673,277,0,1
Murcia,2023-12,28980,291,0,1
Murcia,2024-01,26876,276,0,1
Murcia,2024-02,27561,250,0,1
Murcia,2024-03,37649,345,0,1
Murcia,2024-04,92065,685,0,1
Murcia,2024-05,101051,816,0,1
Murcia,2024-06,112136,801,0,1
Murcia,2024-07,120311,823,0,1
Murcia,2024-08,122247,822,0,1
Murcia,2024-09,109741,790,0,1
Murcia,2024-10,94361,709,0,1
Murcia,2024-11,31490,413,0,1
Murcia,2024-12,34333,410,0,1
Navarra,2015-01,9532,379,262,1
Navarra,2015-02,11931,407,0,1
Navarra,2015-03,11931,407,0,1
Navarra,2015-04,13787,518,1050,1
Navarra,2015-05,13415,550,1451,1
Navarra,2015-06,14565,791,1134,1
Navarra,2015-07,17260,526,0,1
Navarra,2015-08,11072,490,0,1
Navarra,2015-09,12441,465,152,1
Navarra,2015-10,13388,501,0,1
Navarra,2015-11,10536,386,6,1
Navarra,2015-12,9987,339,33,1
Navarra,2016-01,9474,324,1662,1
Navarra,2016-02,11292,354,8,1
Navarra,2016-03,12034,390,0,1
Navarra,2016-04,12547,414,0,1
Navarra,2016-05,13627,489,0,1
Navarra,2016-06,15038,583,0,1
Navarra,2016-07,16683,545,50,1
Navarra,2016-08,9659,463,0,1
Navarra,2016-09,13409,481,0,1
Navarra,2016-10,15283,574,286,1
Navarra,2016-11,12919,413,0,1
Navarra,2016-12,11504,342,0,1
Navarra,2017-01,10745,385,0,1
Navarra,2017-02,11470,370,5750,1
Navarra,2017-03,13567,451,0,1
Navarra,2017-04,14447,519,0,1
Navarra,2017-05,15545,500,0,1
Navarra,2017-06,14954,557,784,1
Navarra,2017-07,17337,586,0,1
Navarra,2017-08,9833,403,0,1
Navarra,2017-09,13176,478,0,1
Navarra,2017-10,14182,616,751,1
Navarra,2017-11,15452,449,0,1
Navarra,2017-12,14900,369,8,1
Navarra,2018-01,13446,396,0,1
Navarra,2018-02,13807,431,1698,1
Navarra,2018-03,17042,442,2180,1
Navarra,2018-04,19199,571,270,1
Navarra,2018-05,18766,595,1170,1
Navarra,2018-06,19906,843,23400,1
Navarra,2018-07,21540,601,5,1
Navarra,2018-08,14265,515,0,1
Navarra,2018-09,18478,623,0,1
Navarra,2018-10,18741,558,0,1
Navarra,2018-11,16063,435,0,1
Navarra,2018-12,14252,417,579,1
Navarra,2019-01,15329,423,387,1
Navarra,2019-02,15595,499,3041,1
Navarra,2019-03,17779,516,158,1
Navarra,2019-04,21911,485,305,1
Navarra,2019-05,22016,561,932,1
Navarra,2019-06,22537,592,10666,1
Navarra,2019-07,25047,615,3162,1
Navarra,2019-08,14141,480,3,1
Navarra,2019-09,23517,587,47,1
Navarra,2019-10,23850,542,92,1
Navarra,2019-11,22452,423,3396,1
Navarra,2019-12,19324,413,1,1
Navarra,2020-01,19973,424,3,1
Navarra,2020-02,20710,509,34,1
Navarra,2020-03,9247,221,7,1
Navarra,2020-04,3,28,0,1
Navarra,2020-05,49,95,0,1
Navarra,2020-06,326,120,0,1
Navarra,2020-07,4048,375,0,1
Navarra,2020-08,4470,288,0,1
Navarra,2020-09,8218,375,0,1
Navarra,2020-10,6581,391,0,1
Navarra,2020-11,4367,378,0,1
Navarra,2020-12,6067,334,0,1
Navarra,2021-01,5829,344,0,1
Navarra,2021-02,4922,373,600,1
Navarra,2021-03,5321,456,34,1
Navarra,2021-04,6060,433,0,1
Navarra,2021-05,7513,452,0,1
Navarra,2021-06,8553,429,718,1
Navarra,2021-07,11640,528,520,1
Navarra,2021-08,14524,626,360,1
Navarra,2021-09,12270,473,0,1
Navarra,2021-10,12514,534,0,1
Navarra,2021-11,11686,347,41,1
Navarra,2021-12,11704,249,0,1
Navarra,2022-01,10455,512,0,1
Navarra,2022-02,10891,402,0,1
Navarra,2022-03,12320,383,0,1
Navarra,2022-04,13016,444,0,1
Navarra,2022-05,13800,507,4506,1
Navarra,2022-06,13947,615,0,1
Navarra,2022-07,15903,552,0,1
Navarra,2022-08,15313,531,0,1
Navarra,2022-09,16554,516,2620,1
Navarra,2022-10,16354,529,80,1
Navarra,2022-11,17098,480,0,1
Navarra,2022-12,16895,398,0,1
Navarra,2023-01,14224,341,113,1
Navarra,2023-02,14656,365,0,1
Navarra,2023-03,14464,387,0,1
Navarra,2023-04,17054,440,0,1
Navarra,2023-05,17676,459,0,1
Navarra,2023-06,12635,405,0,1
Navarra,2023-07,17822,587,10,1
Navarra,2023-08,16582,486,25,1
Navarra,2023-09,17844,543,10,1
Navarra,2023-10,19354,507,0,1
Navarra,2023-11,17025,410,110,1
Navarra,2023-12,18274,430,0,1
Navarra,2024-01,16313,414,2,1
Navarra,2024-02,17230,386,0,1
Navarra,2024-03,18865,404,0,1
Navarra,2024-04,20085,455,0,1
Navarra,2024-05,19680,487,0,1
Navarra,2024-06,18338,468,0,1
Navarra,2024-07,20564,538,0,1
Navarra,2024-08,17052,605,0,1
Navarra,2024-09,18784,551,0,1
Navarra,2024-10,18384,577,0,1
Navarra,2024-11,17884,576,0,1
Navarra,2024-12,17215,378,0,1
Pontevedra,2015-01,43564,654,37870,1
Pontevedra,2015-02,51710,744,42040,1
Pontevedra,2015-03,51710,744,42040,1
Pontevedra,2015-04,52461,781,37323,1
Pontevedra,2015-05,53533,827,34602,1
Pontevedra,2015-06,66466,867,49131,1
Pontevedra,2015-07,79651,1021,94284,1
Pontevedra,2015-08,76883,923,28858,1
Pontevedra,2015-09,69360,933,29063,1
Pontevedra,2015-10,64302,835,54202,1
Pontevedra,2015-11,54150,701,32823,1
Pontevedra,2015-12,56772,703,43445,1
Pontevedra,2016-01,61875,762,47859,1
Pontevedra,2016-02,61208,765,95351,1
Pontevedra,2016-03,71076,832,45635,1
Pontevedra,2016-04,74788,894,26127,1
Pontevedra,2016-05,82470,947,27307,1
Pontevedra,2016-06,89080,1018,23188,1
Pontevedra,2016-07,101940,1217,39323,1
Pontevedra,2016-08,102230,1291,31079,1
Pontevedra,2016-09,94670,1154,35884,1
Pontevedra,2016-10,81944,991,37586,1
Pontevedra,2016-11,69364,855,28129,1
Pontevedra,2016-12,63361,831,38595,1
Pontevedra,2017-01,61253,813,40860,1
Pontevedra,2017-02,58239,715,29293,1
Pontevedra,2017-03,72649,879,40827,1
Pontevedra,2017-04,90606,1051,38740,1
Pontevedra,2017-05,99391,1105,57033,1
Pontevedra,2017-06,102087,1133,39867,1
Pontevedra,2017-07,113046,1258,59749,1
Pontevedra,2017-08,112718,1324,44455,1
Pontevedra,2017-09,105916,1248,93179,1
Pontevedra,2017-10,97488,1136,114442,1
Pontevedra,2017-11,80400,949,103955,1
Pontevedra,2017-12,71802,868,108915,1
Pontevedra,2018-01,68104,824,39397,1
Pontevedra,2018-02,66323,786,37187,1
Pontevedra,2018-03,84121,945,50867,1
Pontevedra,2018-04,98621,1099,48457,1
Pontevedra,2018-05,99319,1145,87333,1
Pontevedra,2018-06,87868,958,60658,1
Pontevedra,2018-07,117252,1301,344620,1
Pontevedra,2018-08,121939,1377,68964,1
Pontevedra,2018-09,112618,1260,47508,1
Pontevedra,2018-10,106827,1107,60539,1
Pontevedra,2018-11,85195,907,111929,1
Pontevedra,2018-12,81678,817,103186,1
Pontevedra,2019-01,71866,837,42163,1
Pontevedra,2019-02,71263,867,47833,1
Pontevedra,2019-03,84812,940,46773,1
Pontevedra,2019-04,87986,950,47780,1
Pontevedra,2019-05,89185,1077,34129,1
Pontevedra,2019-06,90194,938,28540,1
Pontevedra,2019-07,100611,1158,43009,1
Pontevedra,2019-08,95761,1088,58858,1
Pontevedra,2019-09,92813,1095,46161,1
Pontevedra,2019-10,88633,958,51742,1
Pontevedra,2019-11,71575,821,46285,1
Pontevedra,2019-12,67748,795,47998,1
Pontevedra,2020-01,64055,795,37035,1
Pontevedra,2020-02,65825,835,31696,1
Pontevedra,2020-03,28811,512,14189,1
Pontevedra,2020-04,302,54,857,1
Pontevedra,2020-05,521,63,1129,1
Pontevedra,2020-06,1714,123,5259,1
Pontevedra,2020-07,21686,649,19940,1
Pontevedra,2020-08,34916,629,25369,1
Pontevedra,2020-09,26139,575,24284,1
Pontevedra,2020-10,23092,477,30190,1
Pontevedra,2020-11,15203,453,41308,1
Pontevedra,2020-12,21202,432,45310,1
Pontevedra,2021-01,16306,395,28888,1
Pontevedra,2021-02,16138,444,34379,1
Pontevedra,2021-03,24116,568,83073,1
Pontevedra,2021-04,26427,611,77967,1
Pontevedra,2021-05,36031,732,72471,1
Pontevedra,2021-06,45164,799,48820,1
Pontevedra,2021-07,60490,859,59241,1
Pontevedra,2021-08,78009,1095,55866,1
Pontevedra,2021-09,67649,1057,149767,1
Pontevedra,2021-10,64914,894,109186,1
Pontevedra,2021-11,57298,930,36679,1
Pontevedra,2021-12,56552,807,49975,1
Pontevedra,2022-01,42423,868,132568,1
Pontevedra,2022-02,47949,936,86656,1
Pontevedra,2022-03,60821,1142,54548,1
Pontevedra,2022-04,68030,938,25585,1
Pontevedra,2022-05,75466,1077,30413,1
Pontevedra,2022-06,81518,1039,42936,1
Pontevedra,2022-07,104625,1521,28447,1
Pontevedra,2022-08,114227,1557,58894,1
Pontevedra,2022-09,96098,1436,55320,1
Pontevedra,2022-10,92264,1056,30084,1
Pontevedra,2022-11,83369,1099,73547,1
Pontevedra,2022-12,86380,1091,70696,1
Pontevedra,2023-01,74233,1220,30518,1
Pontevedra,2023-02,76149,1162,43740,1
Pontevedra,2023-03,84929,1122,52491,1
Pontevedra,2023-04,98756,1265,34910,1
Pontevedra,2023-05,98562,1189,66189,1
Pontevedra,2023-06,99641,1076,32933,1
Pontevedra,2023-07,111301,1371,108487,1
Pontevedra,2023-08,116292,1581,74659,1
Pontevedra,2023-09,107628,1454,200308,1
Pontevedra,2023-10,101395,1233,57937,1
Pontevedra,2023-11,79069,1066,53556,1
Pontevedra,2023-12,88204,1127,51552,1
Pontevedra,2024-01,76084,1068,35879,1
Pontevedra,2024-02,78767,1045,24954,1
Pontevedra,2024-03,92348,1027,28105,1
Pontevedra,2024-04,91655,970,19823,1
Pontevedra,2024-05,16429,167,2794,1
Pontevedra,2024-06,101255,1011,21963,1
Pontevedra,2024-07,111380,1108,23074,1
Pontevedra,2024-08,116760,1217,19786,1
Pontevedra,2024-09,100418,1058,30052,1
Pontevedra,2024-10,91149,946,39960,1
Pontevedra,2024-11,87434,936,27679,1
Pontevedra,2024-12,94850,962,40816,1
Salamanca,2015-01,1024,324,0,1
Salamanca,2015-02,1710,701,0,1
Salamanca,2015-03,1710,701,0,1
Salamanca,2015-04,2867,611,0,1
Salamanca,2015-05,4932,760,0,1
Salamanca,2015-06,842,784,0,1
Salamanca,2015-07,2457,926,0,1
Salamanca,2015-08,2115,991,0,1
Salamanca,2015-09,2917,726,0,1
Salamanca,2015-10,2865,692,0,1
Salamanca,2015-11,135,542,0,1
Salamanca,2015-12,141,409,0,1
Salamanca,2016-01,132,290,0,1
Salamanca,2016-02,334,416,0,1
Salamanca,2016-03,2635,711,114,1
Salamanca,2016-04,1616,713,0,1
Salamanca,2016-05,2896,1066,0,1
Salamanca,2016-06,2045,1063,0,1
Salamanca,2016-07,1549,866,0,1
Salamanca,2016-08,2390,1068,0,1
Salamanca,2016-09,741,976,0,1
Salamanca,2016-10,907,845,0,1
Salamanca,2016-11,186,916,0,1
Salamanca,2016-12,94,362,0,1
Salamanca,2017-01,177,671,0,1
Salamanca,2017-02,201,831,0,1
Salamanca,2017-03,1602,922,0,1
Salamanca,2017-04,3077,820,0,1
Salamanca,2017-05,2896,1039,0,1
Salamanca,2017-06,277,1032,0,1
Salamanca,2017-07,1435,880,0,1
Salamanca,2017-08,1845,991,0,1
Salamanca,2017-09,1290,844,0,1
Salamanca,2017-10,1829,812,0,1
Salamanca,2017-11,254,787,0,1
Salamanca,2017-12,147,481,0,1
Salamanca,2018-01,160,412,0,1
Salamanca,2018-02,201,744,0,1
Salamanca,2018-03,1485,815,0,1
Salamanca,2018-04,2526,915,0,1
Salamanca,2018-05,2327,1203,0,1
Salamanca,2018-06,258,841,0,1
Salamanca,2018-07,1657,982,0,1
Salamanca,2018-08,2772,908,0,1
Salamanca,2018-09,1243,956,0,1
Salamanca,2018-10,1680,729,0,1
Salamanca,2018-11,177,682,0,1
Salamanca,2018-12,160,399,0,1
Salamanca,2019-01,142,420,0,1
Salamanca,2019-02,169,869,0,1
Salamanca,2019-03,2338,1096,0,1
Salamanca,2019-04,3204,629,0,1
Salamanca,2019-05,2255,1126,0,1
Salamanca,2019-06,1684,1105,0,1
Salamanca,2019-07,2059,1035,0,1
Salamanca,2019-08,2075,981,0,1
Salamanca,2019-09,921,947,0,1
Salamanca,2019-10,1888,831,0,1
Salamanca,2019-11,532,670,0,1
Salamanca,2019-12,499,420,0,1
Salamanca,2020-01,245,466,0,1
Salamanca,2020-02,155,881,0,1
Salamanca,2020-03,191,345,0,1
Salamanca,2020-04,120,66,0,1
Salamanca,2020-05,138,110,0,1
Salamanca,2020-06,207,131,0,1
Salamanca,2020-07,262,1200,0,1
Salamanca,2020-08,251,1313,0,1
Salamanca,2020-09,179,973,0,1
Salamanca,2020-10,226,805,0,1
Salamanca,2020-11,162,788,0,1
Salamanca,2020-12,222,382,0,1
Salamanca,2021-01,90,284,0,1
Salamanca,2021-02,204,803,0,1
Salamanca,2021-03,320,804,0,1
Salamanca,2021-04,212,683,0,1
Salamanca,2021-05,245,1180,0,1
Salamanca,2021-06,774,1112,0,1
Salamanca,2021-07,3059,1155,0,1
Salamanca,2021-08,3246,1157,0,1
Salamanca,2021-09,1851,732,0,1
Salamanca,2021-10,346,957,0,1
Salamanca,2021-11,143,556,0,1
Salamanca,2021-12,240,383,0,1
Salamanca,2022-01,166,676,0,1
Salamanca,2022-02,229,797,0,1
Salamanca,2022-03,218,691,0,1
Salamanca,2022-04,359,645,0,1
Salamanca,2022-05,1138,1057,0,1
Salamanca,2022-06,2536,1107,0,1
Salamanca,2022-07,3037,1021,0,1
Salamanca,2022-08,3027,981,0,1
Salamanca,2022-09,1704,609,0,1
Salamanca,2022-10,246,549,0,1
Salamanca,2022-11,148,414,0,1
Salamanca,2022-12,225,169,0,1
Salamanca,2023-01,108,333,0,1
Salamanca,2023-02,179,636,0,1
Salamanca,2023-03,163,800,0,1
Salamanca,2023-04,1434,743,0,1
Salamanca,2023-05,1958,811,0,1
Salamanca,2023-06,3053,1061,0,1
Salamanca,2023-07,3500,1033,0,1
Salamanca,2023-08,4142,928,0,1
Salamanca,2023-09,3704,635,0,1
Salamanca,2023-10,2108,541,0,1
Salamanca,2023-11,629,418,0,1
Salamanca,2023-12,116,314,0,1
Salamanca,2024-01,333,346,0,1
Salamanca,2024-02,806,555,0,1
Salamanca,2024-03,957,661,0,1
Salamanca,2024-04,399,834,0,1
Salamanca,2024-05,1765,1009,0,1
Salamanca,2024-06,2949,785,0,1
Salamanca,2024-07,3424,1148,0,1
Salamanca,2024-08,3903,978,0,1
Salamanca,2024-09,3969,772,0,1
Salamanca,2024-10,1053,588,0,1
Salamanca,2024-11,112,371,0,1
Salamanca,2024-12,545,400,0,1
Santa Cruz de Tenerife,2015-01,1166701,11365,1145082,5
Santa Cruz de Tenerife,2015-02,1269629,11661,1353907,5
Santa Cruz de Tenerife,2015-03,1269629,11661,1353907,5
Santa Cruz de Tenerife,2015-04,1146963,10988,1249516,5
Santa Cruz de Tenerife,2015-05,1039987,10410,1303966,5
Santa Cruz de Tenerife,2015-06,1034590,10182,1496613,5
Santa Cruz de Tenerife,2015-07,1186833,11402,1406184,5
Santa Cruz de Tenerife,2015-08,1266457,11371,1416938,5
Santa Cruz de Tenerife,2015-09,1106278,10391,1603038,5
Santa Cruz de Tenerife,2015-10,1245984,11169,1485855,5
Santa Cruz de Tenerife,2015-11,1245013,11560,1343376,5
Santa Cruz de Tenerife,2015-12,1257394,11900,1338544,5
Santa Cruz de Tenerife,2016-01,1281246,11920,1226458,5
Santa Cruz de Tenerife,2016-02,1272023,11451,1139533,5
Santa Cruz de Tenerife,2016-03,1429932,12589,1491696,5
Santa Cruz de Tenerife,2016-04,1299111,11921,1324633,5
Santa Cruz de Tenerife,2016-05,1207132,11286,1508756,5
Santa Cruz de Tenerife,2016-06,1204281,11249,1519555,5
Santa Cruz de Tenerife,2016-07,1377555,12192,1145420,5
Santa Cruz de Tenerife,2016-08,1445476,13256,1230984,5
Santa Cruz de Tenerife,2016-09,1281942,11389,1354474,5
Santa Cruz de Tenerife,2016-10,1410415,12139,1354447,5
Santa Cruz de Tenerife,2016-11,1376466,12111,1266766,5
Santa Cruz de Tenerife,2016-12,1417397,12849,1329487,5
Santa Cruz de Tenerife,2017-01,1397500,12832,1254254,5
Santa Cruz de Tenerife,2017-02,1330930,11788,1392881,5
Santa Cruz de Tenerife,2017-03,1501777,13313,1747953,5
Santa Cruz de Tenerife,2017-04,1512857,12849,1310073,5
Santa Cruz de Tenerife,2017-05,1294634,11684,1467776,5
Santa Cruz de Tenerife,2017-06,1332124,11711,1449432,5
Santa Cruz de Tenerife,2017-07,1505662,12741,1322022,5
Santa Cruz de Tenerife,2017-08,1552795,13004,1335253,5
Santa Cruz de Tenerife,2017-09,1451461,12539,1370974,5
Santa Cruz de Tenerife,2017-10,1538531,13379,1422412,5
Santa Cruz de Tenerife,2017-11,1526235,14227,1310143,5
Santa Cruz de Tenerife,2017-12,1561779,14682,1332189,5
Santa Cruz de Tenerife,2018-01,1477326,13882,1293023,5
Santa Cruz de Tenerife,2018-02,1411476,12809,1336286,5
Santa Cruz de Tenerife,2018-03,1640122,14770,1574434,5
Santa Cruz de Tenerife,2018-04,1484038,14299,1167079,5
Santa Cruz de Tenerife,2018-05,1387527,13570,1213669,5
Santa Cruz de Tenerife,2018-06,1399023,13804,1359347,5
Santa Cruz de Tenerife,2018-07,1578938,14701,1132711,5
Santa Cruz de Tenerife,2018-08,1620939,15017,1208328,5
Santa Cruz de Tenerife,2018-09,1480217,14110,1272108,5
Santa Cruz de Tenerife,2018-10,1598710,14945,1640514,5
Santa Cruz de Tenerife,2018-11,1576873,15216,1346147,5
Santa Cruz de Tenerife,2018-12,1608971,15843,1261194,5
Santa Cruz de Tenerife,2019-01,1559965,15502,1455995,5
Santa Cruz de Tenerife,2019-02,1478538,13914,1212189,5
Santa Cruz de Tenerife,2019-03,1738118,15856,1588420,5
Santa Cruz de Tenerife,2019-04,1578757,14604,1392719,5
Santa Cruz de Tenerife,2019-05,1434191,13890,1421548,5
Santa Cruz de Tenerife,2019-06,1480108,13978,1227157,5
Santa Cruz de Tenerife,2019-07,1600001,15101,943260,5
Santa Cruz de Tenerife,2019-08,1652631,15075,1225079,5
Santa Cruz de Tenerife,2019-09,1498230,13911,1229640,5
Santa Cruz de Tenerife,2019-10,1577797,14540,1144391,5
Santa Cruz de Tenerife,2019-11,1604076,14792,1156213,5
Santa Cruz de Tenerife,2019-12,1636190,15332,1331337,5
Santa Cruz de Tenerife,2020-01,1540310,14482,1250028,5
Santa Cruz de Tenerife,2020-02,1503853,13745,1221464,5
Santa Cruz de Tenerife,2020-03,760826,9408,979294,5
Santa Cruz de Tenerife,2020-04,16913,1352,629831,5
Santa Cruz de Tenerife,2020-05,34408,1563,838008,5
Santa Cruz de Tenerife,2020-06,148479,3288,835027,5
Santa Cruz de Tenerife,2020-07,570840,8473,1010184,5
Santa Cruz de Tenerife,2020-08,736639,11443,727265,5
Santa Cruz de Tenerife,2020-09,499043,8834,767327,5
Santa Cruz de Tenerife,2020-10,469034,7858,811751,5
Santa Cruz de Tenerife,2020-11,418193,7375,760557,5
Santa Cruz de Tenerife,2020-12,446502,8243,961832,5
Santa Cruz de Tenerife,2021-01,288912,5788,714829,5
Santa Cruz de Tenerife,2021-02,283529,4836,894163,5
Santa Cruz de Tenerife,2021-03,380435,6437,1233643,5
