model,MAE,RMSE,R2
Global ExtraTrees,79878.54145089991,170759.0910438888,0.9884628252656028
Coastal ExtraTrees,85369.66061598208,171529.06347570271,0.9883585457879045
Tuned coastal ExtraTrees,78121.14661751883,156769.87003017007,0.9902757302402121
